New Fault Map Bit,Tag Name,Description,,Asset,Used,New Manual Intervention Map Bit,Tag Name,Description,,Asset,Used,New Warning Map Bit,Tag Name,Description,Asset,Used,,,,Tag,Word,Bit
,FB1[0].26,,FB1[0].26 ~ ,,,,MB1[0].26,,MB1[0].26 ~ ,,,,WB1[0].26,,,,,,,WB1,0,26
,FB1[0].27,,FB1[0].27 ~ ,,,,MB1[0].27,,MB1[0].27 ~ ,,,,WB1[0].27,,,,,,,WB1,0,27
,FB1[0].28,,FB1[0].28 ~ ,,,,MB1[0].28,,MB1[0].28 ~ ,,,,WB1[0].28,,,,,,,WB1,0,28
,FB1[0].29,,FB1[0].29 ~ ,,,,MB1[0].29,,MB1[0].29 ~ ,,,,WB1[0].29,,,,,,,WB1,0,29
,FB1[0].30,,FB1[0].30 ~ ,,,,MB1[0].30,,MB1[0].30 ~ ,,,,WB1[0].30,,,,,,,WB1,0,30
,FB1[0].31,,FB1[0].31 ~ ,,,,MB1[0].31,,MB1[0].31 ~ ,,,,WB1[0].31,,,,,,,WB1,0,31
,FB1[1].0,03P37D/081 BUFFER BELT XFER TIME-OUT  FAULT,FB1[1].0 ~ 03P37D/081 BUFFER BELT XFER TIME-OUT  FAULT,3,X,,MB1[1].0,,MB1[1].0 ~ ,,,,WB1[1].0,,,,,,,WB1,1,0
,FB1[1].1,,FB1[1].1 ~ ,,,,MB1[1].1,03P37D/081 BUFFER BELT START/STOP OPERATED FAULT,MB1[1].1 ~ 03P37D/081 BUFFER BELT START/STOP OPERATED FAULT,3,X,,WB1[1].1,,,,,,,WB1,1,1
,FB1[1].2,03P37D/082 ROLLER BED OVERLOAD FAULT,FB1[1].2 ~ 03P37D/082 ROLLER BED OVERLOAD FAULT,3,X,,MB1[1].2,,MB1[1].2 ~ ,,,,WB1[1].2,,,,,,,WB1,1,2
,FB1[1].3,,FB1[1].3 ~ ,,,,MB1[1].3,03P37D/082 PANEL POWER OR COMMS OR COMMS OFF FAULT,MB1[1].3 ~ 03P37D/082 PANEL POWER OR COMMS OR COMMS OFF FAULT,3,X,,WB1[1].3,,,,,,,WB1,1,3
,FB1[1].4,03P37D/082 ROLLER BED SKID TROUBLE FAULT,FB1[1].4 ~ 03P37D/082 ROLLER BED SKID TROUBLE FAULT,3,X,,MB1[1].4,,MB1[1].4 ~ ,,,,WB1[1].4,,,,,,,WB1,1,4
,FB1[1].5,03P38B/083 INTERMEDIATE ROLLER OVERLOAD FAULT,FB1[1].5 ~ 03P38B/083 INTERMEDIATE ROLLER OVERLOAD FAULT,3,X,,MB1[1].5,,MB1[1].5 ~ ,,,,WB1[1].5,,,,,,,WB1,1,5
,FB1[1].6,03P38C/084 BUFFER BELT OVERLOAD FAULT,FB1[1].6 ~ 03P38C/084 BUFFER BELT OVERLOAD FAULT,1,X,,MB1[1].6,,MB1[1].6 ~ ,,,,WB1[1].6,,,,,,,WB1,1,6
,FB1[1].7,03P38C/084 BUFFER BELT XFER TIME-OUT  FAULT,FB1[1].7 ~ 03P38C/084 BUFFER BELT XFER TIME-OUT  FAULT,3,X,,MB1[1].7,,MB1[1].7 ~ ,,,,WB1[1].7,,,,,,,WB1,1,7
,FB1[1].8,,FB1[1].8 ~ ,,,,MB1[1].8,03P38C/084 BUFFER BELT START/STOP OPERATED FAULT,MB1[1].8 ~ 03P38C/084 BUFFER BELT START/STOP OPERATED FAULT,3,X,,WB1[1].8,,,,,,,WB1,1,8
,FB1[1].9,03P38C/085 ROLLER BED OVERLOAD FAULT,FB1[1].9 ~ 03P38C/085 ROLLER BED OVERLOAD FAULT,3,X,,MB1[1].9,,MB1[1].9 ~ ,,,,WB1[1].9,,,,,,,WB1,1,9
,FB1[1].10,,FB1[1].10 ~ ,,,,MB1[1].10,03P38C/085 PANEL POWER OR COMMS OFF FAULT,MB1[1].10 ~ 03P38C/085 PANEL POWER OR COMMS OFF FAULT,3,X,,WB1[1].10,,,,,,,WB1,1,10
,FB1[1].11,03P38C/085 ROLLER BED SKID TROUBLE FAULT,FB1[1].11 ~ 03P38C/085 ROLLER BED SKID TROUBLE FAULT,3,X,,MB1[1].11,,MB1[1].11 ~ ,,,,WB1[1].11,,,,,,,WB1,1,11
,FB1[1].12,03P38B/086 INTERMEDIATE ROLLER OVERLOAD FAULT,FB1[1].12 ~ 03P38B/086 INTERMEDIATE ROLLER OVERLOAD FAULT,3,X,,MB1[1].12,,MB1[1].12 ~ ,,,,WB1[1].12,,,,,,,WB1,1,12
,FB1[1].13,03P38D/087 BUFFER BELT OVERLOAD FAULT,FB1[1].13 ~ 03P38D/087 BUFFER BELT OVERLOAD FAULT,3,X,,MB1[1].13,,MB1[1].13 ~ ,,,,WB1[1].13,,,,,,,WB1,1,13
,FB1[1].14,03P38D/087 BUFFER BELT XFER TIME-OUT  FAULT,FB1[1].14 ~ 03P38D/087 BUFFER BELT XFER TIME-OUT  FAULT,3,X,,MB1[1].14,,MB1[1].14 ~ ,,,,WB1[1].14,,,,,,,WB1,1,14
,FB1[1].15,,FB1[1].15 ~ ,,,,MB1[1].15,03P38D/087 BUFFER BELT START/STOP OPERATED FAULT,MB1[1].15 ~ 03P38D/087 BUFFER BELT START/STOP OPERATED FAULT,3,X,,WB1[1].15,,,,,,,WB1,1,15
,FB1[1].16,,FB1[1].16 ~ ,,,,MB1[1].16,,MB1[1].16 ~ ,,,,WB1[1].16,,,,,,,WB1,1,16
,FB1[1].17,,FB1[1].17 ~ ,,,,MB1[1].17,,MB1[1].17 ~ ,,,,WB1[1].17,,,,,,,WB1,1,17
,FB1[1].18,,FB1[1].18 ~ ,,,,MB1[1].18,,MB1[1].18 ~ ,,,,WB1[1].18,,,,,,,WB1,1,18
,FB1[1].19,,FB1[1].19 ~ ,,,,MB1[1].19,,MB1[1].19 ~ ,,,,WB1[1].19,,,,,,,WB1,1,19
,FB1[1].20,,FB1[1].20 ~ ,,,,MB1[1].20,,MB1[1].20 ~ ,,,,WB1[1].20,,,,,,,WB1,1,20
,FB1[1].21,,FB1[1].21 ~ ,,,,MB1[1].21,,MB1[1].21 ~ ,,,,WB1[1].21,,,,,,,WB1,1,21
,FB1[1].22,,FB1[1].22 ~ ,,,,MB1[1].22,,MB1[1].22 ~ ,,,,WB1[1].22,,,,,,,WB1,1,22
,FB1[1].23,,FB1[1].23 ~ ,,,,MB1[1].23,,MB1[1].23 ~ ,,,,WB1[1].23,,,,,,,WB1,1,23
,FB1[1].24,,FB1[1].24 ~ ,,,,MB1[1].24,,MB1[1].24 ~ ,,,,WB1[1].24,,,,,,,WB1,1,24
,FB1[1].25,,FB1[1].25 ~ ,,,,MB1[1].25,,MB1[1].25 ~ ,,,,WB1[1].25,,,,,,,WB1,1,25
,FB1[1].26,,FB1[1].26 ~ ,,,,MB1[1].26,,MB1[1].26 ~ ,,,,WB1[1].26,,,,,,,WB1,1,26
,FB1[1].27,,FB1[1].27 ~ ,,,,MB1[1].27,,MB1[1].27 ~ ,,,,WB1[1].27,,,,,,,WB1,1,27
,FB1[1].28,,FB1[1].28 ~ ,,,,MB1[1].28,,MB1[1].28 ~ ,,,,WB1[1].28,,,,,,,WB1,1,28
,FB1[1].29,,FB1[1].29 ~ ,,,,MB1[1].29,,MB1[1].29 ~ ,,,,WB1[1].29,,,,,,,WB1,1,29
,FB1[1].30,,FB1[1].30 ~ ,,,,MB1[1].30,,MB1[1].30 ~ ,,,,WB1[1].30,,,,,,,WB1,1,30
,FB1[1].31,,FB1[1].31 ~ ,,,,MB1[1].31,,MB1[1].31 ~ ,,,,WB1[1].31,,,,,,,WB1,1,31
,FB1[2].0,03P38D/088 ROLLER BED OVERLOAD FAULT,FB1[2].0 ~ 03P38D/088 ROLLER BED OVERLOAD FAULT,3,X,,MB1[2].0,,MB1[2].0 ~ ,,,,WB1[2].0,,,,,,,WB1,2,0
,FB1[2].1,,FB1[2].1 ~ ,,,,MB1[2].1,03P38D/088 PANEL POWER OR COMMS OFF FAULT,MB1[2].1 ~ 03P38D/088 PANEL POWER OR COMMS OFF FAULT,3,X,,WB1[2].1,,,,,,,WB1,2,1
,FB1[2].2,03P38D/088 ROLLER BED SKID TROUBLE FAULT,FB1[2].2 ~ 03P38D/088 ROLLER BED SKID TROUBLE FAULT,3,X,,MB1[2].2,,MB1[2].2 ~ ,,,,WB1[2].2,,,,,,,WB1,2,2
,FB1[2].3,03P046/095 Q-CHAIN OVERLOAD FAULT,FB1[2].3 ~ 03P046/095 Q-CHAIN OVERLOAD FAULT,3,X,,MB1[2].3,,MB1[2].3 ~ ,,,,WB1[2].3,,,,,,,WB1,2,3
,FB1[2].4,,FB1[2].4 ~ ,,,,MB1[2].4,03P046/095 PANEL POWER OR COMMS OFF FAULT,MB1[2].4 ~ 03P046/095 PANEL POWER OR COMMS OFF FAULT,3,X,,WB1[2].4,,,,,,,WB1,2,4
,FB1[2].5,,FB1[2].5 ~ ,,,,MB1[2].5,,MB1[2].5 ~ ,,,,WB1[2].5,03P046/095 Q-CHAIN LUBRICAT'NOVERLOAD FAULT,3,X,,,,WB1,2,5
,FB1[2].6,,FB1[2].6 ~ ,,,,MB1[2].6,03P046/095 Q-CHAIN START/STOPPUSHBUTTONFAULT,MB1[2].6 ~ 03P046/095 Q-CHAIN START/STOPPUSHBUTTONFAULT,3,X,,WB1[2].6,,,,,,,WB1,2,6
,FB1[2].7,03P046/096 ROLLER BED OVERLOAD FAULT,FB1[2].7 ~ 03P046/096 ROLLER BED OVERLOAD FAULT,3,X,,MB1[2].7,,MB1[2].7 ~ ,,,,WB1[2].7,,,,,,,WB1,2,7
,FB1[2].8,03P046/096 ROLLER BED TIME-OUT FAULT,FB1[2].8 ~ 03P046/096 ROLLER BED TIME-OUT FAULT,3,X,,MB1[2].8,,MB1[2].8 ~ ,,,,WB1[2].8,,,,,,,WB1,2,8
,FB1[2].9,03P046/097 ROLLER BED OVERLOAD FAULT,FB1[2].9 ~ 03P046/097 ROLLER BED OVERLOAD FAULT,3,X,,MB1[2].9,,MB1[2].9 ~ ,,,,WB1[2].9,,,,,,,WB1,2,9
,FB1[2].10,03P046/097 ROLLER BED TIME-OUT FAULT,FB1[2].10 ~ 03P046/097 ROLLER BED TIME-OUT FAULT,3,X,,MB1[2].10,,MB1[2].10 ~ ,,,,WB1[2].10,,,,,,,WB1,2,10
,FB1[2].11,03P046/098 ROLLER BED OVERLOAD FAULT,FB1[2].11 ~ 03P046/098 ROLLER BED OVERLOAD FAULT,3,X,,MB1[2].11,,MB1[2].11 ~ ,,,,WB1[2].11,,,,,,,WB1,2,11
,FB1[2].12,03P046/098 ROLLER BED TIME-OUT FAULT,FB1[2].12 ~ 03P046/098 ROLLER BED TIME-OUT FAULT,3,X,,MB1[2].12,,MB1[2].12 ~ ,,,,WB1[2].12,,,,,,,WB1,2,12
,FB1[2].13,03P046/099 ROLLER BED OVERLOAD FAULT,FB1[2].13 ~ 03P046/099 ROLLER BED OVERLOAD FAULT,3,X,,MB1[2].13,,MB1[2].13 ~ ,,,,WB1[2].13,,,,,,,WB1,2,13
,FB1[2].14,03P046/099 ROLLER BED TIME-OUT FAULT,FB1[2].14 ~ 03P046/099 ROLLER BED TIME-OUT FAULT,3,X,,MB1[2].14,,MB1[2].14 ~ ,,,,WB1[2].14,,,,,,,WB1,2,14
,FB1[2].15,03P046/100 ROLLER BED OVERLOAD FAULT,FB1[2].15 ~ 03P046/100 ROLLER BED OVERLOAD FAULT,3,X,,MB1[2].15,,MB1[2].15 ~ ,,,,WB1[2].15,,,,,,,WB1,2,15
,FB1[2].16,,FB1[2].16 ~ ,,,,MB1[2].16,,MB1[2].16 ~ ,,,,WB1[2].16,,,,,,,WB1,2,16
,FB1[2].17,,FB1[2].17 ~ ,,,,MB1[2].17,,MB1[2].17 ~ ,,,,WB1[2].17,,,,,,,WB1,2,17
,FB1[2].18,,FB1[2].18 ~ ,,,,MB1[2].18,,MB1[2].18 ~ ,,,,WB1[2].18,,,,,,,WB1,2,18
,FB1[2].19,,FB1[2].19 ~ ,,,,MB1[2].19,,MB1[2].19 ~ ,,,,WB1[2].19,,,,,,,WB1,2,19
,FB1[2].20,,FB1[2].20 ~ ,,,,MB1[2].20,,MB1[2].20 ~ ,,,,WB1[2].20,,,,,,,WB1,2,20
,FB1[2].21,,FB1[2].21 ~ ,,,,MB1[2].21,,MB1[2].21 ~ ,,,,WB1[2].21,,,,,,,WB1,2,21
,FB1[2].22,,FB1[2].22 ~ ,,,,MB1[2].22,,MB1[2].22 ~ ,,,,WB1[2].22,,,,,,,WB1,2,22
,FB1[2].23,,FB1[2].23 ~ ,,,,MB1[2].23,,MB1[2].23 ~ ,,,,WB1[2].23,,,,,,,WB1,2,23
,FB1[2].24,,FB1[2].24 ~ ,,,,MB1[2].24,,MB1[2].24 ~ ,,,,WB1[2].24,,,,,,,WB1,2,24
,FB1[2].25,,FB1[2].25 ~ ,,,,MB1[2].25,,MB1[2].25 ~ ,,,,WB1[2].25,,,,,,,WB1,2,25
,FB1[2].26,,FB1[2].26 ~ ,,,,MB1[2].26,,MB1[2].26 ~ ,,,,WB1[2].26,,,,,,,WB1,2,26
,FB1[2].27,,FB1[2].27 ~ ,,,,MB1[2].27,,MB1[2].27 ~ ,,,,WB1[2].27,,,,,,,WB1,2,27
,FB1[2].28,,FB1[2].28 ~ ,,,,MB1[2].28,,MB1[2].28 ~ ,,,,WB1[2].28,,,,,,,WB1,2,28
,FB1[2].29,,FB1[2].29 ~ ,,,,MB1[2].29,,MB1[2].29 ~ ,,,,WB1[2].29,,,,,,,WB1,2,29
,FB1[2].30,,FB1[2].30 ~ ,,,,MB1[2].30,,MB1[2].30 ~ ,,,,WB1[2].30,,,,,,,WB1,2,30
,FB1[2].31,,FB1[2].31 ~ ,,,,MB1[2].31,,MB1[2].31 ~ ,,,,WB1[2].31,,,,,,,WB1,2,31
,FB1[3].0,03P046/100 ROLLER BED TIME-OUT FAULT,FB1[3].0 ~ 03P046/100 ROLLER BED TIME-OUT FAULT,3,X,,MB1[3].0,,MB1[3].0 ~ ,,,,WB1[3].0,,,,,,,WB1,3,0
,FB1[3].1,03P046/101 ROLLER BED OVERLOAD FAULT,FB1[3].1 ~ 03P046/101 ROLLER BED OVERLOAD FAULT,3,X,,MB1[3].1,,MB1[3].1 ~ ,,,,WB1[3].1,,,,,,,WB1,3,1
,FB1[3].2,03P046/101 ROLLER BED TIME-OUT FAULT,FB1[3].2 ~ 03P046/101 ROLLER BED TIME-OUT FAULT,3,X,,MB1[3].2,,MB1[3].2 ~ ,,,,WB1[3].2,,,,,,,WB1,3,2
,FB1[3].3,03P046/102 ROLLER BED OVERLOAD FAULT,FB1[3].3 ~ 03P046/102 ROLLER BED OVERLOAD FAULT,3,X,,MB1[3].3,,MB1[3].3 ~ ,,,,WB1[3].3,,,,,,,WB1,3,3
,FB1[3].4,03P046/102 ROLLER BED TIME-OUT FAULT,FB1[3].4 ~ 03P046/102 ROLLER BED TIME-OUT FAULT,3,X,,MB1[3].4,,MB1[3].4 ~ ,,,,WB1[3].4,,,,,,,WB1,3,4
,FB1[3].5,03P046/105 INTERMEDIATE ROLLER OVERLOAD FAULT,FB1[3].5 ~ 03P046/105 INTERMEDIATE ROLLER OVERLOAD FAULT,3,X,,MB1[3].5,,MB1[3].5 ~ ,,,,WB1[3].5,,,,,,,WB1,3,5
,FB1[3].6,03P47A/106 BUFFER BELT OVERLOAD FAULT,FB1[3].6 ~ 03P47A/106 BUFFER BELT OVERLOAD FAULT,3,X,,MB1[3].6,,MB1[3].6 ~ ,,,,WB1[3].6,,,,,,,WB1,3,6
,FB1[3].7,03P47A/106 BUFFER BELT XFER TIME-OUT  FAULT,FB1[3].7 ~ 03P47A/106 BUFFER BELT XFER TIME-OUT  FAULT,3,X,,MB1[3].7,,MB1[3].7 ~ ,,,,WB1[3].7,,,,,,,WB1,3,7
,FB1[3].8,,FB1[3].8 ~ ,,,,MB1[3].8,03P47A/106 BUFFER BELT START/STOP OPERATED FAULT,MB1[3].8 ~ 03P47A/106 BUFFER BELT START/STOP OPERATED FAULT,3,X,,WB1[3].8,,,,,,,WB1,3,8
,FB1[3].9,03P47A/107 ROLLER BED OVERLOAD FAULT,FB1[3].9 ~ 03P47A/107 ROLLER BED OVERLOAD FAULT,3,X,,MB1[3].9,,MB1[3].9 ~ ,,,,WB1[3].9,,,,,,,WB1,3,9
,FB1[3].10,,FB1[3].10 ~ ,,,,MB1[3].10,03P47A/107 PANEL POWER OR COMMS OFF FAULT,MB1[3].10 ~ 03P47A/107 PANEL POWER OR COMMS OFF FAULT,3,X,,WB1[3].10,,,,,,,WB1,3,10
,FB1[3].11,03P47A/107 ROLLER BED SKID TROUBLE FAULT,FB1[3].11 ~ 03P47A/107 ROLLER BED SKID TROUBLE FAULT,3,X,,MB1[3].11,,MB1[3].11 ~ ,,,,WB1[3].11,,,,,,,WB1,3,11
,FB1[3].12,03P48A/108 BUFFER BELT OVERLOAD FAULT,FB1[3].12 ~ 03P48A/108 BUFFER BELT OVERLOAD FAULT,3,X,,MB1[3].12,,MB1[3].12 ~ ,,,,WB1[3].12,,,,,,,WB1,3,12
,FB1[3].13,03P48A/108 BUFFER BELT XFER TIME-OUT  FAULT,FB1[3].13 ~ 03P48A/108 BUFFER BELT XFER TIME-OUT  FAULT,3,X,,MB1[3].13,,MB1[3].13 ~ ,,,,WB1[3].13,,,,,,,WB1,3,13
,FB1[3].14,,FB1[3].14 ~ ,,,,MB1[3].14,03P48A/108 BUFFER BELT START/STOP OPERATED FAULT,MB1[3].14 ~ 03P48A/108 BUFFER BELT START/STOP OPERATED FAULT,3,X,,WB1[3].14,,,,,,,WB1,3,14
,FB1[3].15,03P48A/109 ROLLER BED OVERLOAD FAULT,FB1[3].15 ~ 03P48A/109 ROLLER BED OVERLOAD FAULT,3,X,,MB1[3].15,,MB1[3].15 ~ ,,,,WB1[3].15,,,,,,,WB1,3,15
,FB1[3].16,,FB1[3].16 ~ ,,,,MB1[3].16,,MB1[3].16 ~ ,,,,WB1[3].16,,,,,,,WB1,3,16
,FB1[3].17,,FB1[3].17 ~ ,,,,MB1[3].17,,MB1[3].17 ~ ,,,,WB1[3].17,,,,,,,WB1,3,17
,FB1[3].18,,FB1[3].18 ~ ,,,,MB1[3].18,,MB1[3].18 ~ ,,,,WB1[3].18,,,,,,,WB1,3,18
,FB1[3].19,,FB1[3].19 ~ ,,,,MB1[3].19,,MB1[3].19 ~ ,,,,WB1[3].19,,,,,,,WB1,3,19
,FB1[3].20,,FB1[3].20 ~ ,,,,MB1[3].20,,MB1[3].20 ~ ,,,,WB1[3].20,,,,,,,WB1,3,20
,FB1[3].21,,FB1[3].21 ~ ,,,,MB1[3].21,,MB1[3].21 ~ ,,,,WB1[3].21,,,,,,,WB1,3,21
,FB1[3].22,,FB1[3].22 ~ ,,,,MB1[3].22,,MB1[3].22 ~ ,,,,WB1[3].22,,,,,,,WB1,3,22
,FB1[3].23,,FB1[3].23 ~ ,,,,MB1[3].23,,MB1[3].23 ~ ,,,,WB1[3].23,,,,,,,WB1,3,23
,FB1[3].24,,FB1[3].24 ~ ,,,,MB1[3].24,,MB1[3].24 ~ ,,,,WB1[3].24,,,,,,,WB1,3,24
,FB1[3].25,,FB1[3].25 ~ ,,,,MB1[3].25,,MB1[3].25 ~ ,,,,WB1[3].25,,,,,,,WB1,3,25
,FB1[3].26,,FB1[3].26 ~ ,,,,MB1[3].26,,MB1[3].26 ~ ,,,,WB1[3].26,,,,,,,WB1,3,26
,FB1[3].27,,FB1[3].27 ~ ,,,,MB1[3].27,,MB1[3].27 ~ ,,,,WB1[3].27,,,,,,,WB1,3,27
,FB1[3].28,,FB1[3].28 ~ ,,,,MB1[3].28,,MB1[3].28 ~ ,,,,WB1[3].28,,,,,,,WB1,3,28
,FB1[3].29,,FB1[3].29 ~ ,,,,MB1[3].29,,MB1[3].29 ~ ,,,,WB1[3].29,,,,,,,WB1,3,29
,FB1[3].30,,FB1[3].30 ~ ,,,,MB1[3].30,,MB1[3].30 ~ ,,,,WB1[3].30,,,,,,,WB1,3,30
,FB1[3].31,,FB1[3].31 ~ ,,,,MB1[3].31,,MB1[3].31 ~ ,,,,WB1[3].31,,,,,,,WB1,3,31
,FB1[4].0,,FB1[4].0 ~ ,,,,MB1[4].0,03P48A/109 PANEL POWER OR COMMS OFF FAULT,MB1[4].0 ~ 03P48A/109 PANEL POWER OR COMMS OFF FAULT,3,X,,WB1[4].0,,,,,,,WB1,4,0
,FB1[4].1,03P48A/109 ROLLER BED SKID TROUBLE FAULT,FB1[4].1 ~ 03P48A/109 ROLLER BED SKID TROUBLE FAULT,3,X,,MB1[4].1,,MB1[4].1 ~ ,,,,WB1[4].1,,,,,,,WB1,4,1
,FB1[4].2,03P046/110 INTERMEDIATE ROLLER OVERLOAD FAULT,FB1[4].2 ~ 03P046/110 INTERMEDIATE ROLLER OVERLOAD FAULT,3,X,,MB1[4].2,,MB1[4].2 ~ ,,,,WB1[4].2,,,,,,,WB1,4,2
,FB1[4].3,03P054/111 BUFFER BELT OVERLOAD FAULT,FB1[4].3 ~ 03P054/111 BUFFER BELT OVERLOAD FAULT,3,X,,MB1[4].3,,MB1[4].3 ~ ,,,,WB1[4].3,,,,,,,WB1,4,3
,FB1[4].4,03P054/111 BUFFER BELT XFER TIME-OUT  FAULT,FB1[4].4 ~ 03P054/111 BUFFER BELT XFER TIME-OUT  FAULT,3,X,,MB1[4].4,,MB1[4].4 ~ ,,,,WB1[4].4,,,,,,,WB1,4,4
,FB1[4].5,,FB1[4].5 ~ ,,,,MB1[4].5,03P054/111 BUFFER BELT START/STOP OPERATED FAULT,MB1[4].5 ~ 03P054/111 BUFFER BELT START/STOP OPERATED FAULT,3,X,,WB1[4].5,,,,,,,WB1,4,5
,FB1[4].6,03P054/112 ROLLER BED OVERLOAD FAULT,FB1[4].6 ~ 03P054/112 ROLLER BED OVERLOAD FAULT,3,X,,MB1[4].6,,MB1[4].6 ~ ,,,,WB1[4].6,,,,,,,WB1,4,6
