Trigger Value,Faults,Manual Interventions
77,FB1[2].13 ~ 03P046/099 ROLLER BED OVERLOAD FAULT,MB1[2].13 ~ 
78,FB1[2].14 ~ 03P046/099 ROLLER BED TIME-OUT FAULT,MB1[2].14 ~ 
79,FB1[2].15 ~ 03P046/100 ROLLER BED OVERLOAD FAULT,MB1[2].15 ~ 
80,FB1[2].16 ~ ,MB1[2].16 ~ 
81,FB1[2].17 ~ ,MB1[2].17 ~ 
82,FB1[2].18 ~ ,MB1[2].18 ~ 
83,FB1[2].19 ~ ,MB1[2].19 ~ 
84,FB1[2].20 ~ ,MB1[2].20 ~ 
85,FB1[2].21 ~ ,MB1[2].21 ~ 
86,FB1[2].22 ~ ,MB1[2].22 ~ 
87,FB1[2].23 ~ ,MB1[2].23 ~ 
88,FB1[2].24 ~ ,MB1[2].24 ~ 
89,FB1[2].25 ~ ,MB1[2].25 ~ 
90,FB1[2].26 ~ ,MB1[2].26 ~ 
91,FB1[2].27 ~ ,MB1[2].27 ~ 
92,FB1[2].28 ~ ,MB1[2].28 ~ 
93,FB1[2].29 ~ ,MB1[2].29 ~ 
94,FB1[2].30 ~ ,MB1[2].30 ~ 
95,FB1[2].31 ~ ,MB1[2].31 ~ 
96,FB1[3].0 ~ 03P046/100 ROLLER BED TIME-OUT FAULT,MB1[3].0 ~ 
97,FB1[3].1 ~ 03P046/101 ROLLER BED OVERLOAD FAULT,MB1[3].1 ~ 
98,FB1[3].2 ~ 03P046/101 ROLLER BED TIME-OUT FAULT,MB1[3].2 ~ 
99,FB1[3].3 ~ 03P046/102 ROLLER BED OVERLOAD FAULT,MB1[3].3 ~ 
100,FB1[3].4 ~ 03P046/102 ROLLER BED TIME-OUT FAULT,MB1[3].4 ~ 
101,FB1[3].5 ~ 03P046/105 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[3].5 ~ 
102,FB1[3].6 ~ 03P47A/106 BUFFER BELT OVERLOAD FAULT,MB1[3].6 ~ 
103,FB1[3].7 ~ 03P47A/106 BUFFER BELT XFER TIME-OUT  FAULT,MB1[3].7 ~ 
104,FB1[3].8 ~ ,MB1[3].8 ~ 03P47A/106 BUFFER BELT START/STOP OPERATED FAULT
105,FB1[3].9 ~ 03P47A/107 ROLLER BED OVERLOAD FAULT,MB1[3].9 ~ 
106,FB1[3].10 ~ ,MB1[3].10 ~ 03P47A/107 PANEL POWER OR COMMS OFF FAULT
107,FB1[3].11 ~ 03P47A/107 ROLLER BED SKID TROUBLE FAULT,MB1[3].11 ~ 
108,FB1[3].12 ~ 03P48A/108 BUFFER BELT OVERLOAD FAULT,MB1[3].12 ~ 
109,FB1[3].13 ~ 03P48A/108 BUFFER BELT XFER TIME-OUT  FAULT,MB1[3].13 ~ 
110,FB1[3].14 ~ ,MB1[3].14 ~ 03P48A/108 BUFFER BELT START/STOP OPERATED FAULT
111,FB1[3].15 ~ 03P48A/109 ROLLER BED OVERLOAD FAULT,MB1[3].15 ~ 
112,FB1[3].16 ~ ,MB1[3].16 ~ 
113,FB1[3].17 ~ ,MB1[3].17 ~ 
114,FB1[3].18 ~ ,MB1[3].18 ~ 
115,FB1[3].19 ~ ,MB1[3].19 ~ 
116,FB1[3].20 ~ ,MB1[3].20 ~ 
117,FB1[3].21 ~ ,MB1[3].21 ~ 
118,FB1[3].22 ~ ,MB1[3].22 ~ 
119,FB1[3].23 ~ ,MB1[3].23 ~ 
120,FB1[3].24 ~ ,MB1[3].24 ~ 
121,FB1[3].25 ~ ,MB1[3].25 ~ 
122,FB1[3].26 ~ ,MB1[3].26 ~ 
123,FB1[3].27 ~ ,MB1[3].27 ~ 
124,FB1[3].28 ~ ,MB1[3].28 ~ 
125,FB1[3].29 ~ ,MB1[3].29 ~ 
126,FB1[3].30 ~ ,MB1[3].30 ~ 
127,FB1[3].31 ~ ,MB1[3].31 ~ 
128,FB1[4].0 ~ ,MB1[4].0 ~ 03P48A/109 PANEL POWER OR COMMS OFF FAULT
129,FB1[4].1 ~ 03P48A/109 ROLLER BED SKID TROUBLE FAULT,MB1[4].1 ~ 
130,FB1[4].2 ~ 03P046/110 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[4].2 ~ 
131,FB1[4].3 ~ 03P054/111 BUFFER BELT OVERLOAD FAULT,MB1[4].3 ~ 
132,FB1[4].4 ~ 03P054/111 BUFFER BELT XFER TIME-OUT  FAULT,MB1[4].4 ~ 
133,FB1[4].5 ~ ,MB1[4].5 ~ 03P054/111 BUFFER BELT START/STOP OPERATED FAULT
134,FB1[4].6 ~ 03P054/112 ROLLER BED OVERLOAD FAULT,MB1[4].6 ~ 
135,FB1[4].7 ~ ,MB1[4].7 ~ 03P054/112 PANEL POWER OR COMMS OFF FAULT
136,FB1[4].8 ~ 03P054/112 ROLLER BED SKID TROUBLE FAULT,MB1[4].8 ~ 
137,FB1[4].9 ~ 03P050/113 BUFFER BELT OVERLOAD FAULT,MB1[4].9 ~ 
138,FB1[4].10 ~ 03P050/113 BUFFER BELT XFER TIME-OUT  FAULT,MB1[4].10 ~ 
139,FB1[4].11 ~ ,MB1[4].11 ~ 03P050/113 BUFFER BELT START/STOP OPERATED FAULT
140,FB1[4].12 ~ 03P050/114 ROLLER BED OVERLOAD FAULT,MB1[4].12 ~ 
141,FB1[4].13 ~ ,MB1[4].13 ~ 03P050/114 PANEL POWER OR COMMS OFF FAULT
142,FB1[4].14 ~ 03P050/114 ROLLER BED SKID TROUBLE FAULT,MB1[4].14 ~ 
143,FB1[4].15 ~ 03P046/115 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[4].15 ~ 
144,FB1[4].16 ~ ,MB1[4].16 ~ 
145,FB1[4].17 ~ ,MB1[4].17 ~ 
146,FB1[4].18 ~ ,MB1[4].18 ~ 
147,FB1[4].19 ~ ,MB1[4].19 ~ 
148,FB1[4].20 ~ ,MB1[4].20 ~ 
149,FB1[4].21 ~ ,MB1[4].21 ~ 
150,FB1[4].22 ~ ,MB1[4].22 ~ 
151,FB1[4].23 ~ ,MB1[4].23 ~ 
152,FB1[4].24 ~ ,MB1[4].24 ~ 
153,FB1[4].25 ~ ,MB1[4].25 ~ 
154,FB1[4].26 ~ ,MB1[4].26 ~ 
155,FB1[4].27 ~ ,MB1[4].27 ~ 
156,FB1[4].28 ~ ,MB1[4].28 ~ 
157,FB1[4].29 ~ ,MB1[4].29 ~ 
158,FB1[4].30 ~ ,MB1[4].30 ~ 
159,FB1[4].31 ~ ,MB1[4].31 ~ 
160,FB1[5].0 ~ 03P047/116 BUFFER BELT OVERLOAD FAULT,MB1[5].0 ~ 
161,FB1[5].1 ~ 03P047/116 BUFFERBELT TRANSFER TIME-OUT FAULT,MB1[5].1 ~ 
162,FB1[5].2 ~ ,MB1[5].2 ~ 03P047/116 BUFFER BELT START/STOP OPERATED FAULT
163,FB1[5].3 ~ 03P047/117 ROLLER BED OVERLOAD FAULT,MB1[5].3 ~ 
164,FB1[5].4 ~ ,MB1[5].4 ~ 03P047/117 PANEL POWER OR COMMS OFF FAULT
165,FB1[5].5 ~ 03P047/117 ROLLER BED SKID TROUBLE FAULT,MB1[5].5 ~ 
166,FB1[5].6 ~ 03P048/118 BUFFER BELT OVERLOAD FAULT,MB1[5].6 ~ 
167,FB1[5].7 ~ 03P048/118 BUFFER BELT XFER TIME-OUT  FAULT,MB1[5].7 ~ 
168,FB1[5].8 ~ ,MB1[5].8 ~ 03P048/118 BUFFER BELT START/STOP OPERATED FAULT
169,FB1[5].9 ~ 03P048/119 ROLLER BED OVERLOAD FAULT,MB1[5].9 ~ 
170,FB1[5].10 ~ ,MB1[5].10 ~ 03P048/119 PANEL POWER OR COMMS OFF FAULT
171,FB1[5].11 ~ 03P048/119 ROLLER BED SKID TROUBLE FAULT,MB1[5].11 ~ 
172,FB1[5].12 ~ 03P046/120 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[5].12 ~ 
173,FB1[5].13 ~ 03P056/121 BUFFER BELT OVERLOAD FAULT,MB1[5].13 ~ 
174,FB1[5].14 ~ 03P056/121 BUFFER BELT XFER TIME-OUT  FAULT,MB1[5].14 ~ 
175,FB1[5].15 ~ ,MB1[5].15 ~ 03P056/121 BUFFER BELT START/STOP OPERATED FAULT
176,FB1[5].16 ~ ,MB1[5].16 ~ 
177,FB1[5].17 ~ ,MB1[5].17 ~ 
178,FB1[5].18 ~ ,MB1[5].18 ~ 
179,FB1[5].19 ~ ,MB1[5].19 ~ 
180,FB1[5].20 ~ ,MB1[5].20 ~ 
181,FB1[5].21 ~ ,MB1[5].21 ~ 
182,FB1[5].22 ~ ,MB1[5].22 ~ 
183,FB1[5].23 ~ ,MB1[5].23 ~ 
184,FB1[5].24 ~ ,MB1[5].24 ~ 
185,FB1[5].25 ~ ,MB1[5].25 ~ 
186,FB1[5].26 ~ ,MB1[5].26 ~ 
187,FB1[5].27 ~ ,MB1[5].27 ~ 
188,FB1[5].28 ~ ,MB1[5].28 ~ 
189,FB1[5].29 ~ ,MB1[5].29 ~ 
190,FB1[5].30 ~ ,MB1[5].30 ~ 
191,FB1[5].31 ~ ,MB1[5].31 ~ 
192,FB1[6].0 ~ 03P056/122 ROLLER BED OVERLOAD FAULT,MB1[6].0 ~ 
193,FB1[6].1 ~ ,MB1[6].1 ~ 03P056/122 PANEL POWER OR COMMS OFF FAULT
194,FB1[6].2 ~ 03P056/122 ROLLER BED SKID TROUBLE FAULT,MB1[6].2 ~ 
195,FB1[6].3 ~ 03P051/123 BUFFER BELT OVERLOAD FAULT,MB1[6].3 ~ 
196,FB1[6].4 ~ 03P051/123 BUFFER BELT XFER TIME-OUT  FAULT,MB1[6].4 ~ 
197,FB1[6].5 ~ ,MB1[6].5 ~ 03P051/123 BUFFER BELT START/STOP OPERATED FAULT
198,FB1[6].6 ~ 03P051/124 ROLLER BED OVERLOAD FAULT,MB1[6].6 ~ 
199,FB1[6].7 ~ ,MB1[6].7 ~ 03P051/124 PANEL POWER OR COMMS OFF FAULT
200,FB1[6].8 ~ 03P051/124 ROLLER BED SKID TROUBLE FAULT,MB1[6].8 ~ 
201,FB1[6].9 ~ 03P049/125 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[6].9 ~ 
202,FB1[6].10 ~ 03P057/126 BUFFER BELT OVERLOAD FAULT,MB1[6].10 ~ 
203,FB1[6].11 ~ 03P057/126 BUFFER BELT XFER TIME-OUT  FAULT,MB1[6].11 ~ 
204,FB1[6].12 ~ ,MB1[6].12 ~ 03P057/126 BUFFER BELT START/STOP OPERATED FAULT
205,FB1[6].13 ~ 03P057/127 ROLLER BED OVERLOAD FAULT,MB1[6].13 ~ 
206,FB1[6].14 ~ ,MB1[6].14 ~ 03P057/127 PANEL POWER OR COMMS OFF FAULT
207,FB1[6].15 ~ 03P057/127 ROLLER BED SKID TROUBLE FAULT,MB1[6].15 ~ 
208,FB1[6].16 ~ ,MB1[6].16 ~ 
209,FB1[6].17 ~ ,MB1[6].17 ~ 
210,FB1[6].18 ~ ,MB1[6].18 ~ 
211,FB1[6].19 ~ ,MB1[6].19 ~ 
212,FB1[6].20 ~ ,MB1[6].20 ~ 
213,FB1[6].21 ~ ,MB1[6].21 ~ 
214,FB1[6].22 ~ ,MB1[6].22 ~ 
215,FB1[6].23 ~ ,MB1[6].23 ~ 
216,FB1[6].24 ~ ,MB1[6].24 ~ 
217,FB1[6].25 ~ ,MB1[6].25 ~ 
218,FB1[6].26 ~ ,MB1[6].26 ~ 
219,FB1[6].27 ~ ,MB1[6].27 ~ 
220,FB1[6].28 ~ ,MB1[6].28 ~ 
221,FB1[6].29 ~ ,MB1[6].29 ~ 
222,FB1[6].30 ~ ,MB1[6].30 ~ 
223,FB1[6].31 ~ ,MB1[6].31 ~ 
224,FB1[7].0 ~ 03P052/128 BUFFER BELT OVERLOAD FAULT,MB1[7].0 ~ 
225,FB1[7].1 ~ 03P052/128 BUFFER BELT XFER TIME-OUT  FAULT,MB1[7].1 ~ 
226,FB1[7].2 ~ ,MB1[7].2 ~ 03P052/128 BUFFER BELT START/STOP OPERATED FAULT
227,FB1[7].3 ~ 03P052/129 ROLLER BED OVERLOAD FAULT,MB1[7].3 ~ 
228,FB1[7].4 ~ ,MB1[7].4 ~ 03P052/129 PANEL POWER OR COMMS OFF FAULT
229,FB1[7].5 ~ 03P052/129 ROLLER BED SKID TROUBLE FAULT,MB1[7].5 ~ 
230,FB1[7].6 ~ 03P049/130 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[7].6 ~ 
231,FB1[7].7 ~ 03P049/131 BUFFER BELT OVERLOAD FAULT,MB1[7].7 ~ 
232,FB1[7].8 ~ 03P055/131 BUFFER BELT XFER TIME-OUT  FAULT,MB1[7].8 ~ 
233,FB1[7].9 ~ ,MB1[7].9 ~ 03P055/131 BUFFER BELT START/STOP OPERATED FAULT
234,FB1[7].10 ~ 03P055/132 ROLLER BED OVERLOAD FAULT,MB1[7].10 ~ 
235,FB1[7].11 ~ ,MB1[7].11 ~ 03P055/132 PANEL POWER OR COMMS OFF FAULT
236,FB1[7].12 ~ 03P055/132 ROLLER BED SKID TROUBLE FAULT,MB1[7].12 ~ 
237,FB1[7].13 ~ 03P053/133 BUFFER BELT OVERLOAD FAULT,MB1[7].13 ~ 
238,FB1[7].14 ~ 03P053/133 BUFFER BELT XFER TIME-OUT  FAULT,MB1[7].14 ~ 
239,FB1[7].15 ~ ,MB1[7].15 ~ 03P053/133 BUFFER BELT START/STOP OPERATED FAULT
240,FB1[7].16 ~ ,MB1[7].16 ~ 
241,FB1[7].17 ~ ,MB1[7].17 ~ 
242,FB1[7].18 ~ ,MB1[7].18 ~ 
243,FB1[7].19 ~ ,MB1[7].19 ~ 
244,FB1[7].20 ~ ,MB1[7].20 ~ 
245,FB1[7].21 ~ ,MB1[7].21 ~ 
246,FB1[7].22 ~ ,MB1[7].22 ~ 
247,FB1[7].23 ~ ,MB1[7].23 ~ 
248,FB1[7].24 ~ ,MB1[7].24 ~ 
249,FB1[7].25 ~ ,MB1[7].25 ~ 
250,FB1[7].26 ~ ,MB1[7].26 ~ 
251,FB1[7].27 ~ ,MB1[7].27 ~ 
252,FB1[7].28 ~ ,MB1[7].28 ~ 
253,FB1[7].29 ~ ,MB1[7].29 ~ 
254,FB1[7].30 ~ ,MB1[7].30 ~ 
255,FB1[7].31 ~ ,MB1[7].31 ~ 
256,FB1[8].0 ~ 03P053/134 ROLLER BED OVERLOAD FAULT,MB1[8].0 ~ 
257,FB1[8].1 ~ ,MB1[8].1 ~ 03P053/134 PANEL POWER OR COMMS OFF FAULT
258,FB1[8].2 ~ 03P053/134 ROLLER BED SKID TROUBLE FAULT,MB1[8].2 ~ 
259,FB1[8].3 ~ 03P058/135 ROLLER BED OVERLOAD FAULT,MB1[8].3 ~ 
260,FB1[8].4 ~ ,MB1[8].4 ~ 03P058/135 PANEL POWER OR COMMS OFF FAULT
261,FB1[8].5 ~ 03P058/135 ROLLER BED SKID TROUBLE FAULT,MB1[8].5 ~ 
262,FB1[8].6 ~ 03P058/136 BUFFERBELT OVERLOAD FAULT,MB1[8].6 ~ 
263,FB1[8].7 ~ 03P059/136 BUFFER BELT XFER TIME-OUT  FAULT,MB1[8].7 ~ 
264,FB1[8].8 ~ ,MB1[8].8 ~ 03P058/136 BUFFER BELT START/STOP OPERATED FAULT
265,FB1[8].9 ~ 03P059/137 ROLLER BED OVERLOAD FAULT,MB1[8].9 ~ 
266,FB1[8].10 ~ ,MB1[8].10 ~ 03P059/137 PANEL POWER OR COMMS OFF FAULT
267,FB1[8].11 ~ 03P059/137 ROLLER BED SKID TROUBLE FAULT,MB1[8].11 ~ 
268,FB1[8].12 ~ 03P049/138 BUFFER BELT OVERLOAD FAULT,MB1[8].12 ~ 
269,FB1[8].13 ~ 03P058/138 BUFFER BELT XFER TIME-OUT  FAULT,MB1[8].13 ~ 
270,FB1[8].14 ~ ,MB1[8].14 ~ 03P059/138 BUFFER BELT START/STOP OPERATED FAULT
271,FB1[8].15 ~ 03P049/139 INTERMEDIATE ROLLER OVERLOAD FAULT,MB1[8].15 ~ 
272,FB1[8].16 ~ ,MB1[8].16 ~ 
273,FB1[8].17 ~ ,MB1[8].17 ~ 
274,FB1[8].18 ~ ,MB1[8].18 ~ 
275,FB1[8].19 ~ ,MB1[8].19 ~ 
276,FB1[8].20 ~ ,MB1[8].20 ~ 
277,FB1[8].21 ~ ,MB1[8].21 ~ 
278,FB1[8].22 ~ ,MB1[8].22 ~ 
279,FB1[8].23 ~ ,MB1[8].23 ~ 
280,FB1[8].24 ~ ,MB1[8].24 ~ 
281,FB1[8].25 ~ ,MB1[8].25 ~ 
282,FB1[8].26 ~ ,MB1[8].26 ~ 
283,FB1[8].27 ~ ,MB1[8].27 ~ 
284,FB1[8].28 ~ ,MB1[8].28 ~ 
285,FB1[8].29 ~ ,MB1[8].29 ~ 
286,FB1[8].30 ~ ,MB1[8].30 ~ 
287,FB1[8].31 ~ ,MB1[8].31 ~ 
288,FB1[9].0 ~ 03P049/150 Q-CHAIN OVERLOAD FAULT,MB1[9].0 ~ 
289,FB1[9].1 ~ ,MB1[9].1 ~ 03P049/150 PANEL POWER OR COMMS OFF FAULT
290,FB1[9].2 ~ ,MB1[9].2 ~ 
291,FB1[9].3 ~ ,MB1[9].3 ~ 03P049/150 Q-CHAIN START/STOP PUSHBUTTON FAULT
292,FB1[9].4 ~ 03P049/151 ROLLER BED OVERLOAD FAULT,MB1[9].4 ~ 
293,FB1[9].5 ~ 03P049/151 ROLLER BED TIME-OUT FAULT,MB1[9].5 ~ 
294,FB1[9].6 ~ 03P049/152 ROLLER BED OVERLOAD FAULT,MB1[9].6 ~ 
295,FB1[9].7 ~ 03P049/152 ROLLER BED TIME-OUT FAULT,MB1[9].7 ~ 
296,FB1[9].8 ~ 03P049/153 ROLLER BED OVERLOAD FAULT,MB1[9].8 ~ 
297,FB1[9].9 ~ 03P049/153 ROLLER BED TIME-OUT FAULT,MB1[9].9 ~ 
298,FB1[9].10 ~ 03P049/154 ROLLER BED OVERLOAD FAULT,MB1[9].10 ~ 
299,FB1[9].11 ~ 03P049/154 ROLLER BED TIME-OUT FAULT,MB1[9].11 ~ 
300,FB1[9].12 ~ 03P049/155 ROLLER BED OVERLOAD FAULT,MB1[9].12 ~ 
301,FB1[9].13 ~ 03P049/156 ROLLER BED OVERLOAD FAULT,MB1[9].13 ~ 
302,FB1[9].14 ~ 03P049/157 ROLLER BED OVERLOAD FAULT,MB1[9].14 ~ 
303,FB1[9].15 ~ 03P066/160 ROLLER BED OVERLOAD FAULT,MB1[9].15 ~ 
304,FB1[9].16 ~ ,MB1[9].16 ~ 
305,FB1[9].17 ~ ,MB1[9].17 ~ 
306,FB1[9].18 ~ ,MB1[9].18 ~ 
307,FB1[9].19 ~ ,MB1[9].19 ~ 
308,FB1[9].20 ~ ,MB1[9].20 ~ 
309,FB1[9].21 ~ ,MB1[9].21 ~ 
310,FB1[9].22 ~ ,MB1[9].22 ~ 
311,FB1[9].23 ~ ,MB1[9].23 ~ 
312,FB1[9].24 ~ ,MB1[9].24 ~ 
313,FB1[9].25 ~ ,MB1[9].25 ~ 
314,FB1[9].26 ~ ,MB1[9].26 ~ 
315,FB1[9].27 ~ ,MB1[9].27 ~ 
316,FB1[9].28 ~ ,MB1[9].28 ~ 
317,FB1[9].29 ~ ,MB1[9].29 ~ 
318,FB1[9].30 ~ ,MB1[9].30 ~ 
319,FB1[9].31 ~ ,MB1[9].31 ~ 
320,FB1[10].0 ~ ,MB1[10].0 ~ 03P066/160 PANEL POWER OR COMMS OFF FAULT
321,FB1[10].1 ~ 03P066/160 ROLLER BED XFER TIME-OUT FAULT,MB1[10].1 ~ 
322,FB1[10].2 ~ 03P37B/075 T-CAR BRAKE OVERLOAD FAULT,MB1[10].2 ~ 
323,FB1[10].3 ~ 03P37B/075 T-CAR VFD FAULT,MB1[10].3 ~ 
324,FB1[10].4 ~ 03P37B/075 T-CAR TIME-OUT FAULT,MB1[10].4 ~ 
325,FB1[10].5 ~ 03P37B/075 T-CAR SWITCH PAIR FAULT,MB1[10].5 ~ 
326,FB1[10].6 ~ 03P37B/075 T-CAR THERMISTOR FAULT,MB1[10].6 ~ 
327,FB1[10].7 ~ 03P38B/076 T-CAR BRAKE OVERLOAD FAULT,MB1[10].7 ~ 
328,FB1[10].8 ~ 03P38B/076 T-CAR VFD FAULT,MB1[10].8 ~ 
329,FB1[10].9 ~ 03P38B/076 T-CAR TIME-OUT FAULT,MB1[10].9 ~ 
330,FB1[10].10 ~ 03P38B/076 T-CAR SWITCH PAIR FAULT,MB1[10].10 ~ 
331,FB1[10].11 ~ 03P38B/076 T-CAR THERMISTOR FAULT,MB1[10].11 ~ 
332,FB1[10].12 ~ 03P37C/079 STOPPER OVERLOAD FAULT,MB1[10].12 ~ 
333,FB1[10].13 ~ 03P37C/079 STOPPER TIME-OUT FAULT,MB1[10].13 ~ 
334,FB1[10].14 ~ 03P37C/079 STOPPER SWITCH PAIR FAULT,MB1[10].14 ~ 
